,Course,College,Pr1,Pr2,Pr3,Pr4,Pr5,Oapr,SUM,AVG,English,Quanty
1311,AB JOURN,CLA,44.05,42.05,66.81,92.22,53.29,61.37,298.42,59.684,86.1,145.51
1328,AB JOURN,CLA,55.84,30.03,72.66,84.63,43.49,61.37,286.65,57.33,85.87,128.12
1334,AB JOURN,CLA,70.75,61.11,51.68,34.54,33.69,61.37,251.77,50.354,131.86,68.23
1351,AB POLSCI,CLA,47,66.85,59.25,63.45,72.9,61.37,309.45,61.89,113.85,136.35
1368,AB POLSCI,CLA,58.56,48.4,72.66,63.45,43.49,61.37,286.56,57.312,106.96,106.94
1378,AB POLSCI,CLA,72.78,42.05,76.79,53.82,9.69,61.37,255.13,51.026,114.83,63.51
1386,AB POLSCI,CLA,41.05,66.85,72.66,79.96,43.49,61.37,304.01,60.802,107.9,123.45
1391,AB POLSCI,CLA,68.5,77.12,24.36,24.91,63.1,61.37,257.99,51.598,145.62,88.01
1423,AB POLSCI,CLA,55.84,48.4,66.81,63.45,63.1,61.37,297.6,59.52,104.24,126.55
1428,AB POLSCI,CLA,58.56,61.11,44.12,44.18,79.78,61.37,287.75,57.55,119.67,123.96
1465,ABMC-BROAD,CLA,68.5,54.75,29.96,44.18,72.9,61.37,270.29,54.058,123.25,117.08
1493,BAHISTORY,CLA,58.56,87.4,24.36,70.61,33.69,61.37,274.62,54.924,145.96,104.3
1527,BAHISTORY,CLA,63.53,61.11,36.55,10.45,95.65,61.37,267.29,53.458,124.64,106.1
1537,BAHISTORY,CLA,63.53,48.4,44.12,53.82,72.9,61.37,282.77,56.554,111.93,126.72
1666,BS ECO,CLA,70.75,35.7,36.55,34.54,83.75,61.37,261.29,52.258,106.45,118.29
1701,BS ECO,CLA,61.05,48.4,36.55,70.61,72.9,61.37,289.51,57.902,109.45,143.51
1748,BS ECO,CLA,58.56,35.7,59.25,84.63,43.49,61.37,281.63,56.326,94.26,128.12
2012,BSN,CN,68.5,35.7,44.12,44.18,79.78,61.37,272.28,54.456,104.2,123.96
2124,BPE,CCSPE,70.75,66.85,24.36,44.18,53.29,61.37,259.43,51.886,137.6,97.47
2126,BPE,CCSPE,68.5,61.11,36.55,44.18,53.29,61.37,263.63,52.726,129.61,97.47
2140,BPE,CCSPE,66.01,82.26,44.12,44.18,20.6,61.37,257.17,51.434,148.27,64.78
2158,BPE,CCSPE,49.95,25.06,72.66,44.18,97.87,61.37,289.72,57.944,75.01,142.05
2169,BPE,CCSPE,72.78,35.7,51.68,63.45,33.69,61.37,257.3,51.46,108.48,97.14
2172,BPE,CCSPE,52.9,71.99,59.25,24.91,79.78,61.37,288.83,57.766,124.89,104.69
2379,BS CHEM,CSM,66.01,66.85,66.81,44.18,20.6,61.37,264.45,52.89,132.86,64.78
2438,BS PHYSICS,CSM,58.56,42.05,59.25,75.28,53.29,61.37,288.43,57.686,100.61,128.57
2461,BS STAT,CSM,66.01,71.99,29.96,53.82,43.49,61.37,265.27,53.054,138,97.31
2493,BS CD,CSWCD,47,61.11,76.79,63.45,53.29,61.37,301.64,60.328,108.11,116.74
2512,BS CD,CSWCD,70.75,35.7,66.81,34.54,53.29,61.37,261.09,52.218,106.45,87.83
2525,BSSW,CSWCD,55.84,25.06,80.93,84.63,33.69,61.37,280.15,56.03,80.9,118.32
2564,BSSW,CSWCD,68.5,35.7,59.25,63.45,43.49,61.37,270.39,54.078,104.2,106.94
2587,BCAE,CTE,63.53,61.11,44.12,53.82,53.29,61.37,275.87,55.174,124.64,107.11
5,BS AGRI,College of Agriculture,68.5,54.75,36.55,70.61,43.49,62.48,273.9,54.78,123.25,114.1
8,BS AGRI,College of Agriculture,58.56,87.4,80.93,34.54,9.69,62.48,271.12,54.224,145.96,44.23
13,BS AGRI,College of Agriculture,58.56,54.75,59.25,53.82,72.9,62.48,299.28,59.856,113.31,126.72
35,BS FT,College of Agriculture,68.5,77.12,36.55,44.18,33.69,62.48,260.04,52.008,145.62,77.87
53,BS ARCH,College of Architecture,55.84,35.7,66.81,92.22,33.69,62.48,284.26,56.852,91.54,125.91
60,BS ARCH,College of Architecture,68.5,35.7,13.15,92.22,63.1,62.48,272.67,54.534,104.2,155.32
77,BS ARCH,College of Architecture,63.53,87.4,29.96,44.18,43.49,62.48,268.56,53.712,150.93,87.67
160,BS ARCH,College of Architecture,58.56,48.4,51.68,34.54,91.68,62.48,284.86,56.972,106.96,126.22
191,AB AS,CAIS,61.05,66.85,44.12,63.45,53.29,62.48,288.76,57.752,127.9,116.74
197,AB AS,CAIS,47,77.12,66.81,53.82,63.1,62.48,307.85,61.57,124.12,116.92
223,AB IS,CAIS,55.84,42.05,66.81,75.28,63.1,62.48,303.08,60.616,97.89,138.38
227,AB IS,CAIS,72.78,77.12,59.25,6.59,43.49,62.48,259.23,51.846,149.9,50.08
313,BS CRIM,CCJE,68.5,54.75,36.55,63.45,53.29,62.48,276.54,55.308,123.25,116.74
315,BS CRIM,CCJE,76.83,54.75,36.55,63.45,20.6,62.48,252.18,50.436,131.58,84.05
384,BS CRIM,CCJE,41.05,35.7,51.68,97.95,43.49,62.48,269.87,53.974,76.75,141.44
407,BS CRIM,CCJE,58.56,71.99,51.68,70.61,33.69,62.48,286.53,57.306,130.55,104.3
412,BS CRIM,CCJE,82.02,71.99,36.55,24.91,9.69,62.48,225.16,45.032,154.01,34.6
417,BS CRIM,CCJE,41.05,77.12,66.81,63.45,72.9,62.48,321.33,64.266,118.17,136.35
433,BS CRIM,CCJE,61.05,71.99,18.75,63.45,79.78,62.48,295.02,59.004,133.04,143.23
447,BS CRIM,CCJE,68.5,71.99,36.55,44.18,43.49,62.48,264.71,52.942,140.49,87.67
663,BS EE,COE,61.05,30.03,44.12,53.82,95.65,62.48,284.67,56.934,91.08,149.47
814,BS ME,COE,58.56,42.05,44.12,63.45,87.72,62.48,295.9,59.18,100.61,151.17
904,BS F,CFES,68.5,48.4,66.81,63.45,26.06,62.48,273.22,54.644,116.9,89.51
915,BS HE,CHE,52.9,77.12,85.06,24.91,33.69,62.48,273.68,54.736,130.02,58.6
941,BS HE,CHE,63.53,48.4,44.12,75.28,53.29,62.48,284.62,56.924,111.93,128.57
972,BS ND,CHE,49.95,66.85,66.81,63.45,63.1,62.48,310.16,62.032,116.8,126.55
978,BS ND,CHE,61.05,61.11,51.68,63.45,53.29,62.48,290.58,58.116,122.16,116.74
1014,BSHM,CHE,52.9,71.99,29.96,89.31,43.49,62.48,287.65,57.53,124.89,132.8
1017,BSHM,CHE,86.35,30.03,36.55,6.59,72.9,62.48,232.42,46.484,116.38,79.49
1129,BSIT,CCS,72.78,61.11,51.68,44.18,26.06,62.48,255.81,51.162,133.89,70.24
1177,BSIT,CCS,55.84,82.26,18.75,70.61,72.9,62.48,300.36,60.072,138.1,143.51
1219,AB ENG,CLA,74.8,71.99,36.55,18.16,43.49,62.48,244.99,48.998,146.79,61.65
1239,AB ENG,CLA,58.56,54.75,66.81,63.45,53.29,62.48,296.86,59.372,113.31,116.74
1260,AB ENG,CLA,63.53,71.99,24.36,44.18,79.78,62.48,283.84,56.768,135.52,123.96
1313,AB JOURN,CLA,76.83,15.12,72.66,53.82,43.49,62.48,261.92,52.384,91.95,97.31
1319,AB JOURN,CLA,52.9,71.99,72.66,63.45,33.69,62.48,294.69,58.938,124.89,97.14
1330,AB JOURN,CLA,74.8,71.99,44.12,24.91,26.06,62.48,241.88,48.376,146.79,50.97
1390,AB POLSCI,CLA,68.5,61.11,76.79,14.31,43.49,62.48,264.2,52.84,129.61,57.8
1395,AB POLSCI,CLA,52.9,82.26,80.93,14.31,53.29,62.48,283.69,56.738,135.16,67.6
1468,ABMC-BROAD,CLA,61.05,54.75,51.68,70.61,53.29,62.48,291.38,58.276,115.8,123.9
1485,ABMC-JOURN,CLA,55.84,66.85,72.66,53.82,43.49,62.48,292.66,58.532,122.69,97.31
1495,BAHISTORY,CLA,47,77.12,85.06,44.18,33.69,62.48,287.05,57.41,124.12,77.87
1504,BAHISTORY,CLA,66.01,48.4,80.93,53.82,20.6,62.48,269.76,53.952,114.41,74.42
1511,BAHISTORY,CLA,63.53,71.99,59.25,53.82,26.06,62.48,274.65,54.93,135.52,79.88
1526,BAHISTORY,CLA,49.95,48.4,51.68,92.22,53.29,62.48,295.54,59.108,98.35,145.51
1535,BAHISTORY,CLA,58.56,87.4,36.55,24.91,72.9,62.48,280.32,56.064,145.96,97.81
1565,BAHISTORY,CLA,66.01,42.05,36.55,53.82,83.75,62.48,282.18,56.436,108.06,137.57
